name,Age,Team & Contract,ID,Best position,Value(Euros),Wage(K),Release clause(euros in millions),Height,Weight,foot,Best overall,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace
C. Bravo GK,40,"Real Betis
2020 ~ 2024",174543,GK,1.9,13000,4000000,"184cm / 6'0""",80kg / 176lbs,Right,79,113,12,13,18,59,11,178,22,25,38,61,32,305,57,53,62,72,61,252,62,71,36,66,17,172,40,23,16,70,23,64,52,15,18,19,395,77,79,82,78,79,1467,450,3,77,79,82,79,55
S. Amo-Ameyaw LW RW,16,"Southampton
2023 ~ 2026",277561,LM,825000,2000,2.1,"166cm / 5'5""",61kg / 134lbs,Left,62,252,56+1,54,44,55,43,279,64,60+1,46,48,61,379,80+2,78+2,81,56+1,84,252,58,46+1,59,37,52,220,36,26,55+1,52,51,59,77,23,28,26,43,9,8,9,11,6,1502,322,1,79,54,53,65,28
A. Rrahmani ST,22,"Rapid Bucuresti
2023 ~ 2026",277565,ST,4.2,8000,6.5,"188cm / 6'2""",80kg / 176lbs,Right,73,312,36,75,72,64,65,274,64,50,45,47,68,339,71,73,67,68,60,360,70,82,70,74,64,269,56,21,75,45,72,69,72,20,28,24,45,11,7,10,9,8,1671,357,1,72,71,50,66,28
D. Szala RB CB,17,"Górnik Zabrze
2023 ~ 2024",277589,CB,350000,500,691000,"185cm / 6'1""",78kg / 172lbs,Right,58,165,43,19,44,36,23,143,31,25,31,22,34,317,66,68,63,59,61,228,37,55,51,67,18,230,61,62,25,40,42,37,172,58,59,55,54,8,11,13,14,8,1309,282,1,67,24,35,38,57
M. Belloumi RW RM,21,"Farense
2022 ~ 2027",277663,LM,3.4,3000,9.3,"174cm / 5'9""",66kg / 146lbs,Left,71,288,64,62,40,65,57,324,71,58,58,65,72,368,78,76,78,66,70,304,67,52,72,46,67,272,51,33,65,65,58,69,121,36,45,40,46,11,8,12,8,7,1723,370,1,77,64,64,72,39
Manuel Keliano CDM,20,"Estrela Amadora
2023 ~ 2026",277680,CB,1.6,2000,3.7,"185cm / 6'1""",78kg / 172lbs,Right,67,249,46,38,60,65,40,259,51,39,46,59,64,289,56,62,50,65,56,304,65,65,73,65,36,267,73,64,38,40,52,48,197,61,67,69,56,9,13,13,9,12,1621,345,1,59,44,53,56,64
K. Sano LM CAM CM,19,"NEC
2023 ~ 2028",277809,RM,2000000,2000,4.3,"176cm / 5'9""",66kg / 146lbs,Right,67,273,62,55,45,62,49,300,69,55,48,60,68,371,79,78,82,57,75,272,59,55,61,45,52,287,52,53,57,64,61,62,153,52,52,49,59,13,12,9,12,13,1715,365,1,78,55,61,69,51
A. Bedfian GK,18,"Bordeaux
2023 ~ 2025",277810,GK,900000,500,2.1,"187cm / 6'2""",73kg / 161lbs,Right,62,52,11,6,13,15,7,66,9,12,14,20,11,153,17,27,22,48,39,166,44,45,19,51,7,93,21,13,8,32,19,23,31,9,12,10,308,63,61,59,61,64,869,329,1,63,61,59,64,21
D. Peretz GK,22,"FC Bayern München
2023 ~ 2028",277823,GK,4.6,21000,8.5,"187cm / 6'2""",75kg / 165lbs,Right,72,65,8,8,11,32,6,86,14,15,8,30,19,214,30,42,35,68,39,221,52,61,30,71,7,93,22,11,7,41,12,33,31,9,8,14,353,74,74,69,63,73,1063,388,1,74,74,69,73,35
Jorge Benito GK,17,"Getafe
2023 ~ 2025",277825,GK,350000,500,954000,"182cm / 6'0""",76kg / 168lbs,Right,57,73,15,9,13,28,8,80,8,12,12,30,18,199,32,29,37,51,50,157,46,40,22,43,6,76,23,7,9,24,13,32,31,6,13,12,288,62,58,61,51,56,904,319,1,62,58,61,56,31
Garriel LB LWB,18,"Real Valladolid
2022 ~ 2027",278008,LB,1.3,700,2.9,"177cm / 5'10""",70kg / 154lbs,Left,64,229,60,32,50,53,34,270,70,41,54,49,56,342,75,72,59,64,72,224,32,56,58,47,31,274,57,60,67,39,51,49,191,63,63,65,44,11,8,12,6,7,1574,334,1,73,35,50,63,61
S. Sazonov CB,21,"Torino
2023 ~ 2027",278013,CB,10.5,25000,20000000,"194cm / 6'4""",84kg / 185lbs,Right,77,281,61,31,75,72,42,252,58,38,31,60,65,322,62,72,60,70,58,328,70,80,70,78,30,285,80,75,33,42,55,60,221,74,75,72,45,11,8,7,12,7,1734,378,1,68,40,58,61,74
T. Gomis LM,16,"Caen
2023 ~ 2025",278061,CAM,825000,500,2000000,"183cm / 6'0""",71kg / 157lbs,Right,63,230,48,53,29,57,43,272,69,56,41,39,67,335,73,77,76,41,68,234,59,45,45,48,37,243,35,20,64,65,59,63,77,21,27,29,65,15,14,13,10,13,1456,315,1,75,51,53,67,24
L. Palma LW,23,"Celtic
2023 ~ 2028",278069,CAM,6.5,41000,13000000,"179cm / 5'10""",71kg / 157lbs,Right,76,343,74,70-1,56,72,71,380,77,76-1,77,75,75,371,73-1,80-1,73-1,67-2,78,356,80,68-1,67-2,61,80,305,62,20,70-1,79,74,74,97,30-2,35,32,51,9,8,15,8,11,1903,396,1,77,74,75,75,32
J. Bengui GK,17,"Olympique Lyonnais
2022 ~ 2025",278094,GK,500000,500,1.3,"190cm / 6'3""",80kg / 176lbs,Right,59,57,10,7,13,21,6,67,7,14,10,24,12,150,27,22,21,58,22,183,41,54,18,62,8,86,27,9,5,26,19,40,30,7,12,11,288,60,57,55,56,60,861,313,1,60,57,55,60,25
E. Aydın CDM CM,18,"Galatasaray
2023 ~ 2026",278168,CDM,1.9,3000,4.8,"181cm / 5'11""",80kg / 176lbs,Left,67,286,64,52,54,66,50,324,62,69,60,68,65,336,70,65,73,59,69,325,58,67,75,70,55,308,72,63,54,68,51,65,184,61,61,62,42,6,8,13,6,9,1805,384,1,67,54,66,64,61
A. Gilchrist CB RB,19,"Chelsea
2022 ~ 2026",278286,CB,1.2,8000,3000000,"184cm / 6'0""",78kg / 172lbs,Right,65,240,45,31,65,57,42,226,45,40,36,52,53,287,59,63,55,58,52,258,45,60,60,68,25,261,70,62,40,47,42,61,192,62,65,65,37,6,9,7,7,8,1501,325,1,61,34,50,50,64
A. Haj Mohamed CAM,18,"Parma
2023 ~ 2026",278287,CAM,240000,500,534000,"175cm / 5'9""",67kg / 148lbs,Right,55,216,44,49,35,49,39,247,58,43,39,48,59,307,57,61,60,54,75,208,46,30,53,38,41,213,39,24,47,53,50,59,94,37,29,28,53,7,9,9,15,13,1338,285,1,59,46,48,59,31
A. Matos CDM CM,18,"Huddersfield Town
2023 ~ 2028",278288,CB,1.4,700,3.5,"176cm / 5'9""",71kg / 157lbs,Right,66,271,56,50,54,61,50,288,62,57,50,57,62,354,76,70,75,60,73,350,69,77,75,80,49,314,84,60,54,54,62,52,180,58,63,59,47,14,6,10,8,9,1804,386,1,73,54,57,63,60
A. Higgins ST RW LW,17,"West Bromwich Albion
2023 ~ 2025",278925,ST,250000,1000,631000,"178cm / 5'10""",74kg / 163lbs,Right,56,229,40,53,48,42,46,223,54,40,38,36,55,365,84,83,72,50,76,269,47,61,60,52,49,203,36,20,52,43,52,45,65,21,25,19,50,12,9,7,13,9,1404,308,1,83,51,41,57,25
J. Nonge CM,18,"Juventus
2023 ~ 2026",278926,CAM,1.5,6000,3.5,"184cm / 6'0""",69kg / 152lbs,Left,66,290,58,44,64,68,56,318,67,64,57,62,68,327,67,68,64,63,65,288,50,67,61,59,51,308,58,64,63,68,55,58,191,66,64,61,46,13,6,12,9,6,1768,371,1,68,49,64,66,64
J. Meghoma LB,17,"Southampton
2023 ~ 2025",278957,LB,350000,500,884000,"175cm / 5'9""",71kg / 157lbs,Left,56,194,55+1,28,45+1,42+1,24,211,52+1,42,30,38+1,49+2,343,74,77+1,73,49+2,70,245,37,59+3,61+1,57-2,31,208,42+2,51+1,39+1,41+1,35,46,156,51,54+2,51+1,47,10,6,14,10,7,1404,310,1,76,31,43,54,51
K. Arroyo LM,17,"Independiente del Valle
2023 ~ 2027",279485,ST,775000,500,2.5,"176cm / 5'9""",68kg / 150lbs,Left,61,256,58,59,36,55,48,250,60,42,38,49,61,330,72,69,65,58,66,291,70,53,55,56,57,229,30,20,61,54,64,51,63,16,21,26,59,15,7,11,13,13,1478,316,1,70,61,53,61,21
Francisco Silva GK,17,"Sporting CP
2023 ~ 2024",279703,GK,875000,500,2.3,"191cm / 6'3""",83kg / 183lbs,Right,62,89,14,9,12,46,8,103,17,14,15,43,14,207,46,37,34,60,30,193,47,60,20,60,6,124,20,27,6,56,15,56,34,8,12,14,307,60,57,62,63,65,1057,349,1,60,57,62,65,42
J. Fernández LM CAM,20,"Danubio
2024 ~ 2024",279750,CAM,875000,500,2.1,"174cm / 5'9""",76kg / 168lbs,Right,63,257,52+2,58+3,47,62-7,38+10,304,66,62+6,50,65-2,61-4,327,70,75,66-6,47-3,69-5,258,41-3,53-4,54+7,52-5,58+3,280,47-3,65+15,55,60,53+3,44,182,56-15,61,65+5,56,14,14,6,13,9,1664,359,1,73,53,59,63,59
Miro ST,20,"Gil Vicente
2022 ~ 2024",279899,ST,550000,2000,1.3,"184cm / 6'0""",78kg / 172lbs,Left,62,272,41,61,60,51,59,232,57,47,32,37,59,304,63,66,58,58,59,310,69,72,53,73,43,211,30,12,58,50,61,52,53,15,20,18,47,5,14,7,14,7,1429,308,1,65,59,46,58,21
Luizão CB,21,"West Ham United
2023 ~ 2026",272936,CB,2.5,15000,5.3,"187cm / 6'2""",80kg / 176lbs,Left,70,225,45,30,65,54,31,225,46,44,32,49,54,303,62,58,67,65,51,298,55,75,53,76,39,282,78,71,43,50,40,57,203,66,67,70,51,9,12,9,12,9,1587,338,1,60,38,49,52,68
M. Abaldo RM CAM,19,"Gimnasia La Plata
2022 ~ 2026",272939,CAM,2.2,3000,3.7,"172cm / 5'8""",60kg / 132lbs,Left,68,286,56,62,50,69,49,307,70,56,52,59,70,335,74,71,69,55,66,303,57,59,73,51,63,255,26,45,62,67,55,50,85,20,22,43,50,9,14,10,9,8,1621,346,1,72,60,63,68,31
R. Owusu-Oduro GK,18,"AZ Alkmaar
2020 ~ 2028",272958,GK,1.6,500,3.4,"188cm / 6'2""",82kg / 181lbs,Right,65,62,13,6,12,25,6,64,10,10,11,23,10,180,28,19,39,63,31,193,45,52,30,57,9,76,16,11,5,27,17,35,29,5,13,11,316,65,60,60,64,67,920,340,1,65,60,60,67,24
J. Low CB,21,"Wycombe Wanderers
2023 ~ 2025",273020,CB,825000,2000,1.5,"196cm / 6'5""",91kg / 201lbs,Right,66,184,27,25,67,44,21,179,43,31,22,42,41,228,49,56,34,55,34,268,43,66,55,85,19,236,78,61,31,32,34,47,185,62,63,60,56,12,14,8,8,14,1336,296,1,53,28,36,42,62
J. Domina ST,17,"Unión Santa Fe
2023 ~ 2025",273051,ST,2.8,1000,6000000,"171cm / 5'7""",72kg / 159lbs,Right,70,315,56+2,71+1,58,62,68+3,299,70,49,51+4,59,70,401,87,83,88,61+2,82,318,72+2,67,57,49,73+2,268,45,43,67,53,60,54,107,35,35,37,40,8,11,8,7,6,1748,374,1,85,71,57,71,39
T. Waddingham ST,18,"Brisbane Roar
2022 ~ 2024",273082,ST,575000,500,1.1,"185cm / 6'1""",75kg / 165lbs,Left,61,255,39,58,56,46,56,216,49,42,39,35,51,347,73,77,67,62,68,322,61,74,66,72,49,251,58,34,61,45,53,53,103,30,39,34,59,14,14,10,13,8,1553,332,1,75,57,42,53,37
Danilo CDM CM,22,"Nottingham Forest
2023 ~ 2029",273106,CDM,10.5,44000,20.7,"176cm / 5'9""",69kg / 152lbs,Left,77,299,52,64,60,79,44,327,63,58,56,74,76,370,70,70,77,77,76,340,68,68,84,60,60,338,77,79,62,65,55,57,215,72,75,68,41,10,6,8,6,11,1930,412,1,70,62,68,69,73
S. Pino CB,20,"Deportivo Alavés
2023 ~ 2026",273118,CB,750000,3000,2.1,"195cm / 6'5""",86kg / 190lbs,Right,63,196,29,28,56,50,33,160,32,30,34,29,35,254,55,62,49,51,37,283,45,70,65,79,24,210,53,58,28,30,41,45,195,54,73,68,48,15,7,11,8,7,1346,296,1,59,32,37,36,62
N. Zézé CB,18,"Nantes
2022 ~ 2028",273123,CB,2.4,2000,6.3,"190cm / 6'3""",76kg / 168lbs,Left,69,228,35,28,68,62,35,196,37,26,26,46,61,289,69,64,43,64+2,49,262,39,71+2,64,64+5,24,242,57,70,32,31,52+6,54,209,67+1,73+1,69,53,15,7,7,9,15,1479,322,1,66,31,44,48,70
R. Durosinmi ST,20,"Viktoria Plzeň
2023 ~ 2026",273128,ST,8.5,850,20.4,"192cm / 6'4""",85kg / 187lbs,Right,76,336,54,72,81,64,65,316,71,56,60,55,74,358,74,78,66,71,69,384,73,93,66,84,68,304,66,29,77,66,66,70,56,19,20,17,41,7,12,11,5,6,1795,381,1,76,71,60,71,27
T. Mansour ST RM,20,"Qatar
Free",273624,ST,0,0,0,"186cm / 6'1""",76kg / 168lbs,Right,60,268,44,58,61,49,56,244,58,46,41,42,57,328,73,74,61,55,65,296,51,74,50,70,51,240,60,26,57,46,51,60,59,24,17,18,44,7,5,12,12,8,1479,321,1,74,55,46,58,25
D. Ozoh CDM CM,18,"Crystal Palace
2022 ~ 2024",273693,CB,800000,2000,2000000,"190cm / 6'3""",68kg / 150lbs,Right,64,260,49,54,55,62,40,271,63,51,41,55,61,328,65,69,69,58,67,312,55,70,60,75+2,52,290,71,58,58,53,50,57,176,53,63,60,56,12,8,11,10,15,1693,366,1,67,53,55,63,58
M. De Ritis LB,20,"Peñarol
2022 ~ 2024",273709,CB,1.2,500,2.9,"183cm / 6'0""",78kg / 172lbs,Left,65,280,61,46,55,62,56,290,59,60,58,56,57,305,66,56,66,50,67,285,44,65,67,64,45,295,69,70,55,52,49,58,193,62,66,65,48,7,7,13,14,7,1696,356,1,61,47,59,59,64
D. García CDM CM,19,"Peñarol
2022 ~ 2024",273710,CDM,3.2,500,7.7,"177cm / 5'10""",74kg / 163lbs,Right,71,308,55,58,67,69,59,319,58,62,64,67,68,318,67,55,66-3,69-2,61-3,341,65,72,70,70,64,321,59,73,63,68,58,68,210,68,77+1,65+1,53,15,6,10,11,11,1870,388,1,60,61,65,63,71
E. Cabrera CAM CM,20,"Vélez Sarsfield
2022 ~ 2025",273730,CAM,1.7,3000,2.9,"172cm / 5'8""",68kg / 150lbs,Right,68,282,60,57,48,70,47,358,71,78,67,71,71,368,74,70,82,58,84,291,70,54,64,45,58,284,49,54,58,61,62,59,150,45,56,49,48,7,15,12,9,5,1781,373,1,72,60,67,72,51
U. Sanchez RM CM CDM,25,"Belgrano
2019 ~ 2027",273764,CAM,4000000,11000,6.3,"169cm / 5'7""",70kg / 154lbs,Right,74,325,76,67,55,75,52,356,73,73,65,73,72,364,73,77,74,66,74,311,62,63,66,52,68,319,60,56,68,74,61,53,179,57,65,57,42,7,9,14,7,5,1896,403,1,75,65,74,72,59
G. Puerta CM,19,"Bayer 04 Leverkusen
2023 ~ 2028",273827,CM,1.7,6000,4000000,"173cm / 5'8""",70kg / 154lbs,Right,67,263,51,58,45,66,43,285,61,46,44,66,68,329,64,65,63,65,72,297,65,55,66,56,55,299,64,60,57,69,49,60,179,60,62,57,54,15,8,8,10,13,1706,368,1,65,58,62,64,59
O. Scarles LB LM CB,17,"West Ham United
2022 ~ 2027",274102,LM,550000,500,1.4,"180cm / 5'11""",75kg / 165lbs,Left,61,242,62,42,44,58,36,293,57,59,61,57,59,347,71,74,72,56,74,269,60,51,60,50,48,253,45,51,55,54,48,60,160,51,56,53,46,14,6,7,13,6,1610,342,1,73,47,58,60,52
I. Kostis CB LB,20,"Atlético Madrid
2022 ~ 2027",274208,CB,2.3,10000,6.3,"192cm / 6'4""",83kg / 183lbs,Left,69,200,41,15,66,57,21,198,46,28,20,49,55,274,61,62,41,65,45,268,31,78,55,82,22,225,64,67,29,28,37,60,198,65,68,65,48,11,8,12,12,5,1411,315,1,62,22,44,50,66
O. Perea LM,17,"Atlético Nacional
2023 ~ 2024",274231,RM,2.5,500,5.1,"180cm / 5'11""",68kg / 150lbs,Right,68,286,65,70,44,63,44,281,73,42,44,50,72,335,69,69,62,64,71,254,58,50,44,50,52,237,45,20,64,62,46,58,73,22,21,30,51,9,11,11,9,11,1517,331,1,69,61,59,70,24
T. Avilés CB CDM,19,"Inter Miami
2023 ~ 2026",274569,CB,3.2,2000,5.1,"186cm / 6'1""",72kg / 159lbs,Right,72,268,51,41,73,64,39,282,55,60,44,61,62,287,58,61,57,63,48,320,57,74,62,70,57,297,79,72,50,56,40,59,208,68,73,67,52,7,13,13,8,11,1714,365,1,60,48,58,58,71
N. Voloshyn LM RM,20,"Dynamo Kyiv
2023 ~ 2027",274726,RM,2.1,500,5.9,"175cm / 5'9""",62kg / 137lbs,Right,67,282,57,64,56,67,38,272,69,43,34,66,60,343,69,67,64,64,79,277,64,56,61,46,50,253,45,24,67,63,54,60,76,23,26,27,56,9,14,9,11,13,1559,333,1,68,60,61,66,28
M. Gurgul CB LB,17,"Lech Poznań
2023 ~ 2026",274830,CDM,575000,500,1.2,"181cm / 5'11""",70kg / 154lbs,Left,62,208,46,26,53+4,57,26,244,52,44,33,56,59+1,304,63,72,52,57+1,60,252,35,61+4,68,61+1,27,260,60+1,62+1,40,59,39,55,181,62+1,62+2,57+1,46,8,14,12,6,6,1495,329,1,68,29,53,55,61
K. Hlynsson CAM CM RW,19,"Ajax
2020 ~ 2026",274927,CAM,3.3,4000,6.7,"179cm / 5'10""",67kg / 148lbs,Right,71,298,53,62,57,68,58,325,70,66,57,58,74,349,68,67,75,67,72,288,67,52,68,39,62,275,42,36,69,70,58,67,118,44,36,38,49,14,5,12,6,12,1702,354,1,67,63,63,72,41
D. Watson CM CDM CAM,18,"Kilmarnock
2021 ~ 2025",274934,CM,1.5,700,3.6,"175cm / 5'9""",68kg / 150lbs,Right,66,287,53+1,56+4,51,61+1,66,284,57+2,58,41,63,65+2,330,57,66,62,69,76,323,72,55,78,55,63,312,72,64+4,65+5,66+2,45,68,183,56,65,62,44,15,5,6,10,8,1763,369,1,62,61,60,62,60
D. Downs ST CF,18,"FC Köln
2023 ~ 2026",274944,ST,1.5,3000,3.6,"192cm / 6'4""",80kg / 176lbs,Right,66,294,42,66+1,70+2,62+1,54+3,261,59+1,59,40,41,62+2,300,67,68,55,60,50,307,64,72+1,49,67+1,55,241,43+3,18,61+4,51,68,56+3,58,20,18,20,54,12,7,11,15,9,1515,323,1,68,63,51,59,24
A. Motaraghebjafarpour RB,20,"Kalmar
2023 ~ 2025",275004,RWB,525000,500,984000,"183cm / 6'0""",80kg / 176lbs,Right,60,234,58,40,51,53,32,256,61,50,37,46,62,329,76,75,60,52,66,285,45,69,68,65,38,233,53,53,50,42,35,52,150,48,52,50,57,7,14,9,14,13,1544,341,1,75,40,50,61,51
R. Vermant ST CF,19,"Westerlo
Jun 30, 2024 On loan",275051,ST,1.7,4000,0,"184cm / 6'0""",76kg / 168lbs,Right,67,297,47,69,60,60,61,284,61,58,52,49,64,353,77,78,65,60,73,329,66,75,63,65,60,256,54,15,67,59,61,60,46,15,11,20,62,11,12,15,10,14,1627,344,1,78,66,55,63,19
T. Barbieri RB RM,20,"Pisa
Jun 30, 2024 On loan",275162,RB,2000000,15000,0,"181cm / 5'11""",72kg / 159lbs,Right,66,258,63+1,40+2,53+1,60+2,42,276,55+5,58+3,49,54+2,60+4,347,77+7,78+2,64,62+1,66,299,54+4,69+8,68,63+4,45+4,289,68,61+3,53+3,57+2,50,54+2,187,59+3,65+1,63+3,44,6,12,7,12,7,1700,366,1,78,45,58,58,61
J. Poha CB,20,"Valenciennes
2021 ~ 2026",275164,CB,550000,900,1.1,"196cm / 6'5""",80kg / 176lbs,Right,64,186,25,21,67+2,45+2,28,166,24,27,26,46,43+1,262,44,66,46,58+1,48,259,36,70+1,50,78,25,222,59+1,59,30,35,39,42,185,61,65+2,59,47,11,6,9,15,6,1327,285,1,56,27,37,36,62
M. Ouro-Tagba ST,18,"1860 München
2023 ~ 2024",275274,ST,625000,500,1.3,"190cm / 6'3""",72kg / 159lbs,Right,62,242,39,57,55,55,36,239,64,33,30,49,63,366,79,82,69,67,69,299,47,77,59,72,44,253,67,29,57,42,58,49,84,31,27,26,32,6,7,8,5,6,1515,341,1,81,51,46,64,31
L. Morrison CB,20,"Wigan Athletic
Jun 30, 2024 On loan",275297,CB,900000,6000,0,"183cm / 6'0""",75kg / 165lbs,Right,64,209,33,26,60,55,35,203,45,34,33,43,48,289,53,55,63,58,60,268,45,65,60,70,28,217,55,62,31,33,36,52,193,64,66,63,43,13,6,6,9,9,1422,304,1,54,31,42,49,64
T. Martinelli GK,17,"Fiorentina
2024 ~ 2026",275325,GK,400000,500,1.1,"196cm / 6'5""",90kg / 198lbs,Right,56,55,12,8,10,19,6,72,8,14,13,18,19,140,25,19,31,43,22,186,39,54,18,70,5,81,17,8,4,39,13,38,28,6,10,12,280,58,56,52,55,59,842,303,1,58,56,52,59,23
T. O'Connor CM CAM,19,"Rosario Central
2023 ~ 2026",275336,CM,2.2,3000,3.7,"173cm / 5'8""",70kg / 154lbs,Left,69,270,50,45,49,76,50,324,74,55,51,72,72,322,67,60,59,59,77,279,65,51,71,46,46,291,60,55,61,64,51,60,160,52,53,55,46,6,7,10,11,12,1692,359,1,63,51,66,71,53
T. Land CM,17,"PSV
2022 ~ 2025",275411,CAM,1.2,500,2.9,"175cm / 5'9""",65kg / 143lbs,Right,66,282,57,48,50,67,60,342,70,72,62,65,73,349,72,75,78,62,62,240,58,59,42,39,42,266,50,56,55,62,43,64,155,50,50,55,57,11,6,15,11,14,1691,354,1,74,50,64,71,52
J. van Duiven ST,18,"Almere City
Jun 30, 2024 On loan",275412,ST,2.2,2000,0,"175cm / 5'9""",74kg / 163lbs,Right,68,298,42,69,67,57,63,261,62,50,44,40,65,337,66,69,65,63,74,332,69,80,53,69,61,274,58,27,65,55,69,67,78,25,23,30,49,9,6,13,6,15,1629,342,1,68,67,50,64,30
Manu Bueno CM CAM CDM,18,"Sevilla
2022 ~ 2025",275520,CAM,1.7,2000,4.6,"178cm / 5'10""",73kg / 161lbs,Left,67,261,42,65,52,68,34,283,66,38,45,66,68,314,66,61,59,62,66,287,52,57,60,54,64,300,63,65,64,60,48,52,184,58,64,62,55,15,12,10,7,11,1684,364,1,63,60,58,65,61
M. Tonetto LM LB,22,"FeralpiSalò
2022 ~ 2024",275553,LM,1.2,950,2.1,"179cm / 5'10""",74kg / 163lbs,Left,65,274,63,49,55,60,47,305,63,63,57,59,63,365,81,80,73,60,71,308,54,74,61,66,53,290,58,59,58,56,59,57,181,58,62,61,52,11,5,12,14,10,1775,379,1,80,52,60,64,59
R. van Bommel LW,18,"AZ Alkmaar
2023 ~ 2027",275592,RM,2.8,2000,6000000,"185cm / 6'1""",83kg / 183lbs,Right,69,286,62+4,71-2,36,62+1,55+1,300,73+7,61+4,40,56+2,70+1,365,84,86,77,50,68+4,309,64+2,56-1,62+14,68-2,59+12,238,41+3,23,63+2,56+3,55,54+6,76,20,26,30,44,5,13,9,11,6,1618,365,1,85,65,59,70,25
E. Kohler CDM CB,18,"Werder Bremen
2023 ~ 2026",275943,CDM,500000,1000,1.2,"183cm / 6'0""",75kg / 165lbs,Right,60,246,57,37,45,57,50,250,49,44,40,59,58,326,61,65,72,60,68,255,51,49,64,52,39,248,55,54,46,48,45,60,173,60,62,51,52,9,11,13,6,13,1550,327,1,63,42,54,56,57
T. Buchmann CB,18,"FC Bayern München
2023 ~ 2026",276004,CB,650000,2000,1.7,"188cm / 6'2""",79kg / 174lbs,Right,62,183,25,22,55,50,31,187,36,34,30,46,41,261,55,59,50,57,40,269,47,69,54,77,22,215,53,57,25,37,43,57,186,59,67,60,48,12,9,12,9,6,1349,294,1,57,29,40,41,61
F. van Breemen CB,20,"Basel
2023 ~ 2027",276173,CB,1.2,2000,2000000,"193cm / 6'4""",83kg / 183lbs,Left,66,220,27,32,68,69,24,234,47,36,22,67,62,290,56,62,58,56,58,269,40,68,73,66,22,234,74,62,30,33,35,54,185,67,60,58,53,6,15,14,6,12,1485,325,1,59,31,49,54,63
E. Banzuzi CM CAM,18,"OH Leuven
2023 ~ 2026",276216,CM,2000000,2000,4.2,"191cm / 6'3""",74kg / 163lbs,Right,68,285,48,57,69,74,37,288,64,47,42,69,66,309,65,70,55,67,52,347,71,75,72,72,57,292,65,62,62,57,46,58,168,50,64,54,51,14,5,14,6,12,1740,382,1,68,59,62,63,59
K. Breckin CM,19,"Manchester City
2022 ~ 2027",276621,CAM,850000,9000,2.1,"178cm / 5'10""",72kg / 159lbs,Right,64,270,54,55,48,66,47,300,62,57,53,63,65,335,71,68,69,56,71,304,62,60,66,58,58,270,48,52,56,62,52,59,141,45,52,44,46,8,10,11,5,12,1666,358,1,69,57,61,64,49
S. Charles CDM CB CM,19,"Southampton
2023 ~ 2027",276695,CDM,2.3,7000,4.8,"189cm / 6'2""",77kg / 170lbs,Right,68,269,60-1,42,56+1,70+3,41,308,59+1,65,53,65+2,66+1,292,58,64,56,64,50,309,60,67,66+2,72+1,44,287,65+1,63+1,44,64+3,51,65+4,198,66+1,67+1,65,40,7,6,13,5,9,1703,368,1,61,47,65,61,65
E. Lozano ST,20,"Sporting Gijón
2023 ~ 2025",276880,ST,875000,2000,1.6,"185cm / 6'1""",80kg / 176lbs,Right,64,274,33,67,69,55,50,265,62,49,44,49,61,258,58,56,44,56,44,335,66,73,65,73,58,248,56,32,59,39,62,47,78,33,23,22,51,6,10,13,9,13,1509,325,1,57,64,46,58,32
Dotor CM CDM,22,"Celta de Vigo
2023 ~ 2028",276949,CM,5000000,14000,11.5,"180cm / 5'11""",70kg / 154lbs,Right,74,271,41,64,56,75,35,331,72,58,54,74,73,318,56,58,67,69,68,315,57,60,71,59,68,317,63,70,69,71,44,66,195,64,71,60,45,8,7,11,14,5,1792,383,1,57,61,65,71,66
V. Udoh ST RM LM,18,"Antwerp
2023 ~ 2028",277001,LW,825000,2000,1.8,"174cm / 5'9""",72kg / 159lbs,Left,65,277,59,66,40,60,52,261,67,57,39,36,62,386,93,90,90,42,71,299,63,63,52,57,64,216,41,18,58,42,57,58,43,12,16,15,48,7,13,6,10,12,1530,342,1,91,63,51,66,18
J. Simić CB,18,"Milan
2023 ~ 2025",277022,CB,850000,2000,2.3,"186cm / 6'1""",77kg / 170lbs,Right,63,201,26,31,56,58,30,166,28,27,21,36,54,293,58,64,49,64,58,236,28,63,59,65,21,219,56,67,34,34,28,42,179,58,63,58,60,11,11,13,12,13,1354,294,1,61,28,40,42,61
S. Dweh CB,21,"Viktoria Plzeň
2023 ~ 2024",277025,CB,5.5,650,12.5,"180cm / 5'11""",75kg / 165lbs,Right,76,244,43,28,75,72,26,262,66,29,32,68,67,340,71,73,60,73,63,302,38,85,68,78,33,289,73,72,41,61,42,69,217,71,75,71,43,9,6,8,8,12,1697,377,1,72,32,59,66,73
M. Tomič RB RM,24,"Slavia Praha
2023 ~ 2026",277027,RB,3000000,750,6.8,"181cm / 5'11""",77kg / 170lbs,Right,72,318,73,59,58,70,58,332,71,62,62,66,71-2,362,75,77,72,72,66,353,71,70,76,62,74,311,68,67,66,66,44,68,197,63,66,68,58,9,6,14,15,14,1931,411,1,76,64,68,71,65
